id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
298,30.01.2022,Expenses,Сбер ₽,Игры,217,RUB,217,RUB,TABS
299,30.01.2022,Income,Мама,На столовую ,150,RUB,150,RUB,
300,31.01.2022,Transfer,Cash,Копилка,65,RUB,65,RUB,
301,02.02.2022,Expenses,Сбер ₽,Подписки,199,RUB,199,RUB,1money
302,06.02.2022,Transfer,Сбер ₽,PC,60,RUB,60,RUB,Автонакопления
303,09.02.2022,Transfer,Cash,Копилка,15,RUB,15,RUB,
304,11.02.2022,Income,Мама,Cash,5,RUB,5,RUB,
305,12.02.2022,Transfer,Cash,Копилка,40,RUB,40,RUB,
306,12.02.2022,Transfer,На столовую ,Cash,100,RUB,100,RUB,
307,13.02.2022,Income,Каким-то образом,Cash,75,RUB,75,RUB,Подруга бабушки
308,13.02.2022,Transfer,Сбер ₽,PC,70,RUB,70,RUB,Автонакопления
309,13.02.2022,Transfer,Cash,Копилка,75,RUB,75,RUB,
310,13.02.2022,Expenses,Сбер ₽,Донаат,23.16,RUB,23.16,RUB,Мазяка
311,14.02.2022,Transfer,На столовую ,Cash,50,RUB,50,RUB,
312,14.02.2022,Income,Мама,На столовую ,200,RUB,200,RUB,
313,16.02.2022,Expenses,На столовую ,Шкила,80,RUB,80,RUB,
314,16.02.2022,Transfer,На столовую ,Cash,20,RUB,20,RUB,
315,16.02.2022,Transfer,Cash,Копилка,20,RUB,20,RUB,
316,16.02.2022,Income,Родственники,Сбер ₽,500,RUB,500,RUB,Наушники
317,16.02.2022,Income,Мама,Сбер ₽,500,RUB,500,RUB,Сама предложила перевести 1000
318,20.02.2022,Transfer,Сбер ₽,PC,80,RUB,80,RUB,Автонакопления
319,21.02.2022,Income,Мама,На столовую ,50,RUB,50,RUB,
320,21.02.2022,Transfer,На столовую ,Cash,100,RUB,100,RUB,
321,21.02.2022,Transfer,PC,Сбер $,810,RUB,10.24,USD,
322,21.02.2022,Transfer,Invistitions XD ₽,Сбер $,3552.63,RUB,42.59,USD,
323,21.02.2022,Transfer,MC serвер,Сбер $,318.47,RUB,4.17,USD,
324,22.02.2022,Transfer,Сбер ₽,MC serвер,330,RUB,330,RUB,
325,22.02.2022,Transfer,Сбер ₽,Pc,10,RUB,10,RUB,Автонакопления
326,23.02.2022,Transfer,Сбер $,Invistitions XD $,57,USD,57,USD,
327,23.02.2022,Transfer,На столовую ,Cash,50,RUB,50,RUB,
328,25.02.2022,Income,Мама,На столовую ,100,RUB,100,RUB,
329,27.02.2022,Income,Мама,На столовую ,200,RUB,200,RUB,
330,27.02.2022,Transfer,На столовую ,Cash,50,RUB,50,RUB,
331,27.02.2022,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,Бабушка
332,28.02.2022,Transfer,Сбер ₽,Pc,20,RUB,20,RUB,
333,28.02.2022,Transfer,Сбер ₽,MC serвер,98,RUB,98,RUB,
334,04.03.2022,Transfer,Сбер ₽,Cash,450,RUB,450,RUB,Давид
335,04.03.2022,Expenses,Сбер ₽,Шкила,18.5,RUB,18.5,RUB,Аленка
336,05.03.2022,Transfer,На столовую ,Cash,250,RUB,250,RUB,
337,05.03.2022,Income,Мама,На столовую ,100,RUB,100,RUB,
338,06.03.2022,Transfer,Сбер ₽,Pc,41.5,RUB,41.5,RUB,
339,08.03.2022,Transfer,Сбер ₽,Pc,30,RUB,30,RUB,Автонакопления
340,13.03.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
341,15.03.2022,Income,Родственники,Сбер ₽,20,RUB,20,RUB,Сдача таксиста
342,19.03.2022,Transfer,Cash,Сбер ₽,1200,RUB,1200,RUB,
343,19.03.2022,Expenses,Сбер ₽,Подписки,38.16,RUB,38.16,RUB,Плати.ру
344,21.03.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
345,22.03.2022,Expenses,На столовую ,Столовая,20,RUB,20,RUB,
346,22.03.2022,Expenses,На столовую ,Шкила,20,RUB,20,RUB,
347,22.03.2022,Transfer,На столовую ,Cash,10,RUB,10,RUB,
348,22.03.2022,Transfer,Cash,Копилка,60,RUB,60,RUB,
349,24.03.2022,Transfer,Сбер ₽,Pc,11.84,RUB,11.84,RUB,
350,25.03.2022,Expenses,На столовую ,not stonks,50,RUB,50,RUB,
351,25.03.2022,Transfer,На столовую ,Cash,400,RUB,400,RUB,
352,25.03.2022,Income,Мама,На столовую ,100,RUB,100,RUB,
353,27.03.2022,Transfer,Сбер ₽,MC serвер,110,RUB,110,RUB,Автонакопления
354,30.03.2022,Transfer,Сбер ₽,Cash,84,RUB,84,RUB,
355,30.03.2022,Income,Мама,Cash,16,RUB,16,RUB,-4 руб чаевые на такси
356,01.04.2022,Transfer,Сбер ₽,Pc,20,RUB,20,RUB,
357,02.04.2022,Expenses,Сбер ₽,not stonks,180,RUB,180,RUB,Теле2
358,02.04.2022,Transfer,Сбер ₽,Pc,46,RUB,46,RUB,
359,05.04.2022,Transfer,Сбер ₽,Pc,20,RUB,20,RUB,
